composition,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,pareto_rank,distance_to_training,feasible,anomaly_oxide
GEO2=3.05; MgO=0.58; R2O3=27.92; R2O5=47.72; SIO2=5.89; TIO2=6.04; ZRO2=8.19,5.893905176721874,0.0029540855273659616,0.03904631452689876,0.019371543455839316,0.0021169436032564357,0.03790282440072128,0.0,0.11162007189297603,0.5768926723757148,0.051212036252692016,0.03511216790835038,0.05537659126503803,0.0168516192289109,3.0534819435521783,8.192925205686057,6.042988070562955,0.005682563887420471,0.0003478520260036181,0.030544287012506104,0.07415819745527844,0.07209797970523664,27.91887981452487,47.71592012281329,0.05061191561455987,2.188075542449951,17.957618713378906,4.4454503214337215,644.0814819335938,0.0,lanthanum,1,1.5220203725397903,True,False
BAO=27.63; CAO=1.30; R2O3=3.38; R2O5=54.75; SIO2=5.80; SRO=5.14; ZRO2=0.63,5.8028696062451335,0.0849873451238638,0.055680522641993274,1.2996428176802655,0.007405150075600778,0.012003867535280642,0.0,0.011750232838417113,0.013976724909875185,5.137813046178756,27.628711324690293,0.4963277021914723,0.030049392854817964,0.11537130353590998,0.6349672350618085,0.07117021840829325,0.03633161088760565,3.796940905616169e-05,0.0024627682755786573,0.10307502028375072,0.001474300620797769,3.383341768390613,54.75133403072625,0.3192160414345674,2.1762611865997314,30.86126136779785,2.7400187565614926,509.5821228027344,0.0,uncertain,2,2.98138156285274,True,False
AL2O3=1.85; B2O3=9.73; BAO=1.07; R2O3=13.17; R2O5=56.95; RO=1.35; SIO2=7.93; SRO=6.22; TEO2=0.60,7.930117254889424,1.8549868863703152,9.72644916953315,0.29428932133769237,0.002299979306418888,0.00010822421121653634,0.0,0.014370034457256048,0.016526317526518678,6.218239482036982,1.070729911881518,0.013157301659485632,0.027612721584684703,0.45436065091751787,0.15757338871349458,0.0736828033262966,0.5956065902108206,0.007865170932410497,0.002595789896261482,1.3453730370038757,0.05132120489753031,13.173217531008008,56.95349044218301,0.01602678611609968,2.1622393131256104,33.9603157043457,3.50533829161979,477.12744140625,0.0,uncertain,3,2.3689569814843585,True,False
BAO=30.72; GEO2=0.56; MgO=0.53; R2O3=8.49; R2O5=46.70; SIO2=5.89; TIO2=5.71; ZRO2=1.06,5.894749888226847,0.00818328382651841,0.036865625450183556,0.01828966636384997,0.004075529931480207,0.0009782568635121217,0.0,0.014703411777972384,0.527651853384859,0.054324516175865284,30.724517309104254,0.005107368996804009,0.01645977783720563,0.56230984088786,1.0602396165901486,5.705494552010295,0.0036588865589316454,0.0017764093521197212,0.026117217037833672,0.07001655251134373,0.06807139541165028,8.48736875516201,46.70007690040968,0.008963386128785663,2.155545234680176,23.234542846679688,2.640744574657001,529.0178833007812,0.0,uncertain,4,2.333432371340778,True,False
BAO=1.46; NA2O=0.61; R2O3=8.66; R2O5=50.20; RO2=0.91; SIO2=29.66; TIO2=7.29; ZNO=0.52,29.65621285856974,0.05903808874854928,0.018208391381491208,0.08446050149775006,0.0010442256835560516,0.6082760616541586,0.0,0.021255766101808758,0.025442075681729258,0.09317035894198367,1.4560492945392027,0.5177038278096963,0.050019943288503795,0.016415452540639617,0.1661502425219278,7.290666439568813,0.0011166520282780079,0.0006469811414846246,0.03144095767756218,0.100728679801273,0.029869201142849085,8.661833086901874,50.20084447625091,0.9094064365262219,2.1532392501831055,22.28696060180664,3.502661071855247,624.8067626953125,0.0,uncertain,5,1.1064434452346692,True,False
BAO=25.37; R2O3=8.60; R2O5=49.10; RO=2.30; RO2=0.96; SIO2=5.71; TIO2=6.99,5.7071861685569925,0.0797490131015351,0.15771409070624332,0.08627801558261647,0.005998137009508499,0.012561692883414398,0.0,0.01645095622488721,0.006131652659323134,0.17183055809121936,25.36983071205807,0.08895872021890158,0.03565134896997732,0.007974185758101575,0.1590480268848155,6.990800665471057,0.11554870789512295,0.0011715529145898795,0.02260470296901646,2.300985076493146,0.006022386081491523,8.596040006300033,49.096734598539676,0.9647290246302551,2.1474695205688477,28.72022247314453,2.796744303180631,496.39642333984375,0.0,uncertain,6,2.096748127264953,True,False
BAO=28.41; CAO=0.97; Li2O=0.55; R2O3=8.69; R2O5=45.85; RO=2.15; RO2=0.90; SIO2=5.34; TIO2=6.54,5.338936430193216,0.07460329814813013,0.07249875866416976,0.9689629319420814,0.006636005787094532,0.011751163844917468,0.0,0.5476157594229504,0.005198132332665644,0.08508334677259514,28.40675751017766,0.08321875932078535,0.03335098596397618,0.07998004244559317,0.025360295422676486,6.539727152187727,0.10896654258431575,0.0010888976699369032,0.00928276533505808,2.1525166145624923,0.005633798424923867,8.691455220155651,45.84889461417449,0.902480974466884,2.144580841064453,29.365800857543945,2.8141864503885428,518.0462036132812,0.0,uncertain,7,2.1549696029397434,True,False
R2O3=3.96; R2O5=47.27; SIO2=45.78; TIO2=1.98,45.77863586953023,0.024655077815500494,0.022143184099129513,0.12996971867483142,0.007307546725740801,0.03553662509661315,0.0,0.013272895108723343,0.054093697632689626,0.12363680236491414,0.06871184205680615,0.0012919237140670927,0.032724144841669335,0.16385327361206534,0.0925563395745567,1.9798075190345463,0.0011982096943004028,0.006426890443139797,0.003546557911451811,0.09295664803495379,0.04722505001461597,3.9611645707485645,47.27122171847707,0.08806389479380924,2.1176869869232178,31.276195526123047,3.376763881166305,658.3871459960938,0.0,uncertain,8,0.5161021010478465,True,False
BAO=0.92; R2O3=5.86; R2O5=46.60; SIO2=46.36,46.36340893940506,0.003406727020682255,0.01104011628940105,0.005013240788986148,0.0001702647187370528,0.0009243675738536722,0.0,0.011143426920962514,0.0009170431804453312,0.0002999586741280568,0.9162093279870026,1.0806139176468111e-06,0.0030154781720385286,0.0005196605410091898,0.018686613378902983,0.008031601159596766,0.001890801447510649,0.0018896267707436737,6.0472387561697625e-05,0.1536705045264694,5.5541707704163924e-08,5.857214055501811,46.599358561345355,0.043128076054099684,2.1091089248657227,34.36714172363281,3.398713369634296,696.5716552734375,0.0,uncertain,9,0.4901271273488303,True,False
BAO=0.86; R2O3=10.05; R2O5=45.20; SIO2=41.43; TIO2=0.96; ZNO=0.56,41.42736856289179,0.009278111043704561,0.054053660721382714,0.06772357327669304,0.0014369182677872196,0.04241227177996672,0.0,0.0002570364550437115,0.02200746836294401,0.0439195348233706,0.8641545018141569,0.5629540085200956,0.06806970975830634,0.021473177782526293,0.38136653032652806,0.9585649513788016,0.13271685470003014,3.3049650808668656e-05,0.0010916877282818058,0.03861633251008171,0.04049150932811355,10.048736402544453,45.200272109768854,0.013002036566295172,2.093524932861328,30.625736236572266,3.3661897096371787,665.6597290039062,0.0,uncertain,10,0.7084384028429229,True,False
R2O3=43.84; R2O5=30.43; SIO2=24.31,24.309322884139153,0.08456423439518727,0.08643646907642659,0.02303700826515482,0.003612163629148208,0.015093522837313541,0.0,0.006922542579617886,0.08722954032094339,0.3269276177024155,0.04591224659761782,0.022079127606755376,0.014202520412225965,0.06241292644062568,0.011231642007125332,0.1638656458044719,0.007853683696116985,0.004097916589948475,0.002707223624582141,0.012231721456541273,0.02135252768388066,43.84485393777411,30.43056511092904,0.413487786431601,2.056594133377075,33.889286041259766,4.40021355340818,649.9183959960938,0.0,uncertain,11,0.15056043437615702,True,False
BAO=0.89; MgO=0.68; R2O5=48.92; SIO2=48.67,48.66798475068951,0.0035581588475640255,0.011241184916145857,0.026772506558941173,0.00017872802981129665,0.0012036051165072788,0.0,0.010849583537169286,0.6837945199139663,0.036423859664643676,0.8927736728576108,1.1343277569203847e-06,0.004525785787585497,0.0005454911936787116,0.019615464776437795,0.14488131511322713,0.0017501064938257765,0.0019835540346750846,0.0037600323870887343,0.16130897063025468,0.004911277130530272,0.361001795312704,48.915662668797935,0.04527183388242105,2.0431766510009766,32.234153747558594,3.3024429244081173,627.7030029296875,0.0,uncertain,12,0.4200090657687933,True,False
